JobName,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19
Job_07188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.257471225,-0.088439255,3.797219806,0.006569623
Job_07189,0.033008812,14.05422828,117.6205049,103.5662766,4989.072188,-68.84798947,34.71828715,0.000762772,95.6137601,-22.78241138,80.78386525,-68.88742248,34.67885414,0.050003499,22.78241138,3.191746403,-0.177480697,3.799771013,0.006218982
Job_07190,0.085603475,27.20321266,130.5798264,103.3766138,12658.39214,-36.11506341,67.26155037,-0.003924678,95.14753951,-6.322791511,97.05382227,-36.26652661,67.11008717,0.050003491,6.322791511,3.258991188,-0.106100867,3.799673121,0.005998297
Job_07191,0.026655439,22.73274644,134.5074248,111.7746784,10365.3636,-2.154775671,109.6199027,-0.00043031,94.92646377,-7.909738832,103.8649396,17.57666418,129.3513426,0.050003208,7.909738832,3.195714003,-0.139403156,3.797682033,0.006334674
Job_07192,0.038989017,8.978213403,117.7869986,108.8087852,10773.9479,-28.85712681,79.9516584,-0.000165996,94.36357656,-7.145057557,101.6637277,-28.33003618,80.47874903,0.050003817,7.145057557,3.157474263,-0.108764901,3.797988129,0.006282466
Job_07193,0.033977578,10.77941579,112.9176786,102.1382628,4356.754785,-51.59703455,50.54122822,0.007811673,96.1582072,6.933378157,109.0716409,-51.59150411,50.54675867,0.05000338,-6.933378157,3.300542621,-0.068644725,3.797938982,0.008264042
Job_07194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20705434,-0.255878614,3.797105471,0.007738032
Job_07195,0.06335408,27.59315618,132.228014,104.6348578,10829.83719,4.817834935,109.4526928,0.005032695,95.44035952,-3.694275466,100.9405824,21.34975329,125.9846111,0.050003136,3.694275466,3.10899548,-0.17804858,3.799969225,0.006110228
Job_07196,0.115881186,22.94285439,120.5539298,97.61107536,8822.364452,-4.851830767,92.75924459,-0.003947066,95.36757102,-2.539354858,95.0717205,-2.523542821,95.08753254,0.050003353,2.539354858,3.085286939,-0.277374883,3.799413184,0.005569544
Job_07197,0.058229097,-0.253498527,100.6712207,100.9247192,6492.215254,-62.7885541,38.1361651,0.011899921,96.25136169,-10.03458021,90.89013899,-62.76766241,38.15705679,0.050003539,10.03458021,3.294297013,-0.16319656,3.798865371,0.005709731
Job_07198,0.065833106,24.56895645,125.656125,101.0871686,7479.624287,-15.31921119,85.76795738,-0.000630889,95.02644273,-1.600295643,99.48687293,-15.50944817,85.5777204,0.050003489,1.600295643,3.198882163,-0.281869014,3.796890846,0.007035587
Job_07199,0.058402133,4.102966572,108.6615136,104.558547,9893.993933,-8.166995309,96.39155174,0.000249001,94.32392675,-3.533782388,101.0247647,-7.746842066,96.81170498,0.050002843,3.533782388,3.125763191,-0.218001552,3.799888424,0.005997907
Job_07200,0.047852054,14.04161662,120.4931911,106.4515745,10080.49771,21.0558631,127.5074376,0.000975474,95.85277364,-2.854962758,103.5966118,11.15570021,117.6072747,0.050002647,2.854962758,3.130533041,-0.158651103,3.799070251,0.005055551
Job_07201,0.018463907,8.469250637,116.5123196,108.0430689,4671.860702,-2.552802642,105.4902663,-0.006093991,95.50470409,-7.545706233,100.4973627,7.495408297,115.5384772,0.050002763,7.545706233,3.104191664,-0.130374781,3.796987547,0.006913774
Job_07202,0.013574763,27.85762331,135.907319,108.0496957,3437.699412,-51.73336982,56.31632587,0.006456785,95.14307427,-3.609284938,104.4404107,-51.72403111,56.32566458,0.050003052,3.609284938,3.203466849,-0.239720196,3.798977791,0.005355426
Job_07203,0.081653369,59.57381296,161.6887552,102.1149423,10442.59836,11.91641777,114.03136,0.000512438,95.04723868,-1.220555534,100.8943867,19.88278905,121.9977313,0.050002946,1.220555534,3.153310302,-0.175231544,3.799707476,0.005798697
Job_07204,0.024838697,63.91001158,176.0730339,112.1630223,10098.78251,-18.58556914,93.57745316,0.000986229,96.22291683,-1.680926261,110.482096,-18.36419853,93.79882377,0.050002797,1.680926261,3.171330796,-0.047428165,3.799200031,0.005241006
Job_07205,0.028572836,20.40535478,124.4180731,104.0127184,4545.849873,-42.2991382,61.71358016,-0.001752595,94.83227666,-8.545555546,95.46716281,-42.19934784,61.81337051,0.050003791,8.545555546,3.358700892,-0.142419489,3.797663132,0.008123899
Job_07206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.217510849,-0.047810752,3.798719885,0.004927156
Job_07207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.127639269,-0.241969952,3.799037076,0.005153206
Job_07208,0.010071747,-2.04865733,113.4146912,115.4633486,5989.154498,-11.96455516,103.4987934,0.005521731,95.68589415,-10.8533567,104.6099919,13.80802889,129.2713774,0.050003199,10.8533567,3.107071024,-0.247235927,3.799400392,0.00532721
Job_07209,0.009234745,14.54660235,129.6727733,115.1261709,5281.263178,-0.765382926,114.360788,-0.000361875,96.25944642,-2.937041897,112.189129,6.176652706,121.3028236,0.050003145,2.937041897,3.151476,-0.136732619,3.797971002,0.006268706
Job_07210,0.032128239,14.98874492,117.7522849,102.76354,4427.503707,-58.49507876,44.26846121,-0.001727458,95.36535634,-6.894852677,95.8686873,-58.47757836,44.28596162,0.050002927,6.894852677,3.365806728,-0.022899452,3.797819276,0.00815223
Job_07211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.083842906,-0.281097033,3.799753359,0.006018907
Job_07212,0.098864786,22.26974899,120.9790794,98.70933045,8540.809615,-35.53051278,63.17881767,0.003197541,95.68435275,-12.11841419,86.59091626,-35.08251669,63.62681377,0.050003714,12.11841419,3.275382512,-0.169033824,3.798255068,0.007877238
Job_07213,0.043554843,3.479041751,116.4048113,112.9257695,19336.24575,-3.932340458,108.9934291,2.03E-05,93.67411627,-5.673527426,107.2522421,34.20794625,147.1337158,0.050003468,5.673527426,3.143157818,-0.235230356,3.799936657,0.005924114
